id,user,name,queue,state,finalStatus,progress,trackingUI,trackingUrl,diagnostics,clusterId,applicationType,applicationTags,priority,startedTime,finishedTime,elapsedTime,amContainerLogs,amHostHttpAddress,allocatedMB,allocatedVCores,runningContainers,memorySeconds,vcoreSeconds,queueUsagePercentage,clusterUsagePercentage,preemptedResourceMB,preemptedResourceVCores,numNonAMContainerPreempted,numAMContainerPreempted,logAggregationStatus,unmanagedApplication,amNodeLabelExpression
application_1509085892079_0028,root,org.apache.spark.examples.ml.SimpleTextClassificationPipeline,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0028/,null,1509436254805,SPARK,,0,1509096821453,1509096856175,34722,http://hdp203.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0028_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,162732,77,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0027,root,org.apache.spark.examples.streaming.QueueStream,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0027/,null,1509436254805,SPARK,,0,1509096357715,1509096411847,54132,http://hdp204.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0027_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,286577,138,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0004,hdfs,word count,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0004/,null,1509436254805,MAPREDUCE,,0,1509089981966,1509090001103,19137,http://hdp204.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0004_01_000001/hdfs,hdp204.cancer.com:8042,-1,-1,-1,38757,27,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0003,hdfs,word count,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0003/,null,1509436254805,MAPREDUCE,,0,1509089646586,1509089666869,20283,http://hdp204.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0003_01_000001/hdfs,hdp204.cancer.com:8042,-1,-1,-1,38992,27,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0011,root,org.apache.spark.examples.SparkPi,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0011/,null,1509436254805,SPARK,,0,1509094598140,1509094619012,20872,http://hdp204.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0011_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,88245,42,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0010,root,org.apache.spark.examples.SparkPi,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0010/,null,1509436254805,SPARK,,0,1509094003202,1509094041460,38258,http://hdp203.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0010_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,174774,83,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0031,root,org.apache.spark.examples.streaming.QueueStream,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0031/,null,1509436254805,SPARK,,0,1509097369668,1509097421574,51906,http://hdp204.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0031_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,276917,133,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509343490195_0020,root,QuasiMonteCarlo,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0020/,null,1509436254805,MAPREDUCE,,0,1509418065891,1509419646241,1580350,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0020_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,13925125,10377,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509343490195_0019,root,QuasiMonteCarlo,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0019/,null,1509436254805,MAPREDUCE,,0,1509417994733,1509418015859,21126,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0019_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,104090,52,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509343490195_0021,root,QuasiMonteCarlo,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0021/,null,1509436254805,MAPREDUCE,,0,1509419004079,1509419719463,715384,http://hdp203.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0021_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,281661,145,0.0,0.0,0,0,0,0,NOT_START,False,
